Circuit: * D:\Deli_sync_ws\Project\Current_probe\Doge_probe_deli\spice\AD8129.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 1.71607e-06 to 1.71607e-06
Heightened Def Con from 1.71607e-06 +++++to 1.71607e-06
Heightened Def Con from 1.7241e-06 to 1.7241e-06
Heightened Def Con from 1.7241e-06 to 1.7241e-06
Heightened Def Con from 1.7241e-06 to 1.7241e-06
Heightened Def Con from 1.74427e-06 to 1.74427e-06
Heightened Def Con from 1.74427e-06 to 1.74427e-06
Heightened Def Con from 1.75878e-06 to 1.75878e-06
Heightened Def Con from 1.80009e-06 to 1.80009e-06
Heightened Def Con from 1.83232e-06 to 1.83232e-06
Heightened Def Con from 1.83232e-06 to 1.83232e-06
Heightened Def Con from 1.83232e-06 +++to 1.83232e-06
Heightened Def Con from 1.83232e-06 to 1.83232e-06
Heightened Def Con from 1.84036e-06 to 1.84036e-06
Heightened Def Con from 1.84036e-06 to 1.84036e-06
Heightened Def Con from 1.89818e-06 to 1.89818e-06
Heightened Def Con from 1.89818e-06 to 1.89818e-06
Heightened Def Con from 1.89818e-06 to 1.89818e-06
Heightened Def Con from 1.90016e-06 +++to 1.90016e-06
Heightened Def Con from 1.90016e-06 to 1.90016e-06
Heightened Def Con from 1.90227e-06 to 1.90227e-06
Heightened Def Con from 1.90519e-06 to 1.90519e-06
Heightened Def Con from 1.90834e-06 to 1.90834e-06
Heightened Def Con from 1.90834e-06 +++++to 1.90834e-06
Heightened Def Con from 1.92839e-06 to 1.92839e-06
Heightened Def Con from 1.94044e-06 to 1.94044e-06
Heightened Def Con from 1.94044e-06 ++++to 1.94044e-06
Heightened Def Con from 1.95573e-06 to 1.95573e-06
Heightened Def Con from 1.96928e-06 to 1.96928e-06
Heightened Def Con from 1.96928e-06 +++to 1.96928e-06
Heightened Def Con from 1.99212e-06 to 1.99212e-06
Heightened Def Con from 1.99212e-06 to 1.99212e-06
Heightened Def Con from 1.99624e-06 to 1.99624e-06
Heightened Def Con from 1.99624e-06 ++to 1.99624e-06
Heightened Def Con from 2.00643e-06 ++to 2.00643e-06
Heightened Def Con from 2.00643e-06 ++to 2.00643e-06
Heightened Def Con from 2.00643e-06 to 2.00643e-06
Heightened Def Con from 2.01454e-06 to 2.01454e-06
Heightened Def Con from 2.01858e-06 ++to 2.01858e-06
Heightened Def Con from 2.01858e-06 to 2.01858e-06
Heightened Def Con from 2.01858e-06 to 2.01858e-06
Heightened Def Con from 2.04271e-06 +++to 2.04271e-06
Heightened Def Con from 2.04271e-06 to 2.04271e-06
Heightened Def Con from 2.04271e-06 to 2.04271e-06
Heightened Def Con from 2.04271e-06 ++++++to 2.04271e-06
Heightened Def Con from 2.06747e-06 to 2.06747e-06
Heightened Def Con from 2.06747e-06 to 2.06747e-06
Heightened Def Con from 2.10055e-06 to 2.10055e-06
Heightened Def Con from 2.13685e-06 to 2.13685e-06
Heightened Def Con from 2.13685e-06 to 2.13685e-06
Heightened Def Con from 2.15121e-06 +++to 2.15121e-06
Heightened Def Con from 2.15121e-06 ++++to 2.15121e-06
Heightened Def Con from 2.15121e-06 ++++to 2.15121e-06
Heightened Def Con from 2.18216e-06 ++to 2.18216e-06
Heightened Def Con from 2.18216e-06 +to 2.18216e-06
Heightened Def Con from 2.18216e-06 to 2.18216e-06
Heightened Def Con from 2.19043e-06 to 2.19043e-06
Heightened Def Con from 2.19043e-06 to 2.19043e-06
Heightened Def Con from 2.20489e-06 to 2.20489e-06
Heightened Def Con from 2.20489e-06 +++to 2.20489e-06
Heightened Def Con from 2.20489e-06 ++to 2.20489e-06
Heightened Def Con from 2.20688e-06 ++++to 2.20688e-06
Heightened Def Con from 2.20688e-06 to 2.20688e-06
Heightened Def Con from 2.20688e-06 to 2.20688e-06
Heightened Def Con from 2.20688e-06 to 2.20688e-06
Heightened Def Con from 2.22299e-06 to 2.22299e-06
Heightened Def Con from 2.22299e-06 +++to 2.22299e-06
Heightened Def Con from 2.22701e-06 +++to 2.22701e-06
Heightened Def Con from 2.23103e-06 ++++to 2.23103e-06
Heightened Def Con from 2.24313e-06 to 2.24313e-06
Heightened Def Con from 2.24313e-06 ++to 2.24313e-06
Heightened Def Con from 2.25573e-06 +to 2.25573e-06
Heightened Def Con from 2.2742e-06 to 2.2742e-06
Heightened Def Con from 2.2742e-06 +++to 2.2742e-06
Heightened Def Con from 2.2742e-06 +++to 2.2742e-06
Heightened Def Con from 2.30089e-06 to 2.30089e-06
Heightened Def Con from 2.30519e-06 to 2.30519e-06
Heightened Def Con from 2.31516e-06 +to 2.31516e-06
Heightened Def Con from 2.31516e-06 +++++to 2.31516e-06
Heightened Def Con from 2.33523e-06 to 2.33523e-06
Heightened Def Con from 2.35574e-06 to 2.35574e-06
Heightened Def Con from 2.35574e-06 to 2.35574e-06
Heightened Def Con from 2.35987e-06 to 2.35987e-06
Heightened Def Con from 2.37644e-06 to 2.37644e-06
Heightened Def Con from 2.38472e-06 to 2.38472e-06
Heightened Def Con from 2.38472e-06 to 2.38472e-06
Heightened Def Con from 2.38472e-06 ++++to 2.38472e-06
Heightened Def Con from 2.38472e-06 ++++to 2.38472e-06
